seg_id,name,highway,posted_speed_mph,speed_source,lanes_final,lanes_source,roadway_width_ft,median_type,sidewalk_presence,adt,adt_source,op_speed_85_mph,median_hh_income,pct_poverty,pct_hispanic,pct_black_nh,pct_white_nh,pct_zero_car_hh,length_ft,oneway,merged_dual,n_signals,mid_lat,mid_lon,google_maps,u,v,key,osmid,highway_all,lanes,maxspeed_mph,width_ft,surface,lit,sidewalk,cycleway,parking,deg_u,deg_v,signal_u,signal_v,bearing,dual_carriageway,n_twins_merged,twin_seg_ids,lanes_rep_half,lanes_twin_half,maxspeed_city,match_frac,city_name,speed_name_match,geom_match_frac,city_lanes,avg_lane_width_ft,median_width_ft,lanes_osm_city_agree,width_source,median_source,adt_year,n_adt_stations,op_speed_source,bg_geoid,pop,pop_density_sqmi,sw_left_frac,sw_right_frac,sidewalk_source
C-00001,Bellaire Boulevard,primary,35.0,osm,6.0,osm,72.0,Divided (unspecified),one_side,,,,250001.0,3.2,4.5,7.8,55.7,12.1,296.5303365380617,False,True,0,29.705839,-95.446606,"https://maps.google.com/?q=29.705839,-95.446606",151365803,2059797906,0,208249209|1013746246,primary,6.0,35.0,,concrete,yes,one_side,,,2,3,False,False,87.39490596427106,True,1,C-01015,3.0,3.0,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,merged_dual,,,,482014130001,1303.0,3195.0,0.0,1.0,osm_footway
C-00002,Bellaire Boulevard,primary,35.0,osm,6.0,osm,72.0,Divided (unspecified),one_side,,,,250001.0,2.8,3.4,1.0,64.4,0.0,306.4749196289597,False,True,0,29.705826,-95.447555,"https://maps.google.com/?q=29.705826,-95.447555",2059797906,2405366668,0,195556832,primary,6.0,35.0,,concrete,yes,one_side,,,3,2,False,False,87.3078349918285,True,1,C-01013,3.0,3.0,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,merged_dual,,,,482014128001,1458.0,4158.0,0.0,0.82,osm_footway
C-00003,South Braeswood Boulevard,secondary,45.0,city,2.0,city,24.0,Undivided,one_side,17417.0,street_median,,100651.0,1.2,32.0,34.5,26.6,1.3,307.66268850640375,True,False,2,29.680014,-95.458969,"https://maps.google.com/?q=29.680014,-95.458969",151368894,152579295,0,423441072|15394369,secondary,3.0,35.0,,concrete,yes,,,,2,3,True,True,269.97195199997054,False,0,,,,45.0,0.8,IH 610 LOOP,False,0.8,2.0,12.0,0.0,1.0,city_lanes_x_width,city,,,,482014203003,1568.0,3982.0,0.82,0.0,osm_footway
C-00004,South Post Oak Road,secondary,45.0,city,3.0,city,36.0,Undivided,one_side,,,,100651.0,1.2,32.0,34.5,26.6,1.3,244.13946170061186,True,False,2,29.679666,-95.458492,"https://maps.google.com/?q=29.679666,-95.458492",151368894,152081897,0,251435922,secondary,3.0,,,concrete:plates,yes,,,,2,1,True,True,359.0996503638833,False,0,,,,45.0,1.0,LOOP ,False,1.0,3.0,12.0,0.0,1.0,city_lanes_x_width,city,,,,482014203003,1568.0,3982.0,0.82,0.0,osm_footway
C-00007,Rice Boulevard,secondary,30.0,default_30_unposted,,none,,,both,7042.0,street_median,,,0.0,15.7,19.6,32.8,0.0,543.8768804564045,False,False,0,29.72011,-95.404866,"https://maps.google.com/?q=29.72011,-95.404866",151378108,151862447,0,15432230,secondary,,,,asphalt,,,,,3,3,False,False,64.58830510493289,False,0,,,,,0.0,,True,0.0,,,,,none,none,,,,482019803001,2885.0,6140.0,1.0,1.0,osm_footway
C-00008,Rice Boulevard,secondary,30.0,default_30_unposted,,none,,,both,8898.0,measured,30.0,,0.0,15.7,19.6,32.8,0.0,251.31418079684283,False,False,0,29.72055,-95.403719,"https://maps.google.com/?q=29.72055,-95.403719",151378108,153072733,0,15432230,secondary,,,,asphalt,,,,,3,3,False,False,244.4290363793,False,0,,,,,0.0,,True,0.0,,,,,none,none,2025.0,1.0,measured,482019803001,2885.0,6140.0,1.0,1.0,osm_footway
C-00009,Kent Street,residential,30.0,default_30_local,2.0,default_local_2,24.0,Undivided,partial,,,,250001.0,2.8,3.6,0.0,86.1,1.9,367.92875724183466,False,False,0,29.720881,-95.404292,"https://maps.google.com/?q=29.720881,-95.404292",151378108,152296836,0,15368894,residential,,,,asphalt,,,,,3,4,False,False,155.94733133295475,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,default_local_undivided,,,,482014120001,1723.0,9154.0,0.09,0.09,osm_footway
C-00010,Rice Boulevard,secondary,30.0,default_30_unposted,,none,,,both,7042.0,street_median,,250001.0,2.8,3.6,0.0,86.1,1.9,550.5509777599445,False,False,0,29.719506,-95.406445,"https://maps.google.com/?q=29.719506,-95.406445",151862447,151929918,0,15432230,secondary,,,,asphalt,,,,,3,3,False,False,64.43846119084722,False,0,,,,,0.0,,True,0.0,,,,,none,none,,,,482014120001,1723.0,9154.0,1.0,1.0,osm_footway
C-00011,Hazard Street,tertiary,30.0,default_30_unposted,2.0,osm,24.0,,partial,,,,250001.0,2.8,3.6,0.0,86.1,1.9,371.98330350925306,False,False,0,29.720279,-95.405884,"https://maps.google.com/?q=29.720279,-95.405884",151862447,152662970,0,1429154448,tertiary,2.0,,,asphalt,,,,,3,4,False,False,154.862678162863,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,none,,,,482014120001,1723.0,9154.0,0.09,0.18,osm_footway
C-00012,Ashby Street,residential,30.0,default_30_local,2.0,default_local_2,24.0,Undivided,partial,,,,250001.0,2.8,3.6,0.0,86.1,1.9,497.1375435273976,False,False,0,29.721372,-95.403372,"https://maps.google.com/?q=29.721372,-95.403372",1194474331,153072733,0,1441885693,residential,,,,asphalt,,,,,3,3,False,False,177.1071915499651,False,0,,,,,0.0,,True,0.0,,,,,lanes_x_12ft_assumed,default_local_undivided,,,,482014120001,1723.0,9154.0,0.09,0.0,osm_footway
