seg_id,road_class,district,inc_tier,cov_frac,n_img,recent_share,covered
H-00003,Arterial,G,,1.0,85,0.058823529411764705,True
H-00004,Arterial,G,,1.0,154,0.21428571428571427,True
H-00009,Arterial,G,$50-100k,1.0,164,0.21341463414634146,True
H-00010,Arterial,G,$50-100k,1.0,101,0.13861386138613863,True
H-00015,Local street,K,$50-100k,0.0,0,,False
H-00016,Local street,K,$50-100k,0.0,0,,False
H-00017,Local street,K,$50-100k,0.0,0,,False
H-00018,Local street,K,$50-100k,0.0,0,,False
H-00019,Local street,K,$50-100k,0.0,0,,False
H-00020,Local street,K,$50-100k,0.0,0,,False
H-00021,Local street,K,$50-100k,0.0,0,,False
H-00022,Local street,K,$50-100k,0.0,0,,False
H-00023,Local street,K,$50-100k,0.0,0,,False
H-00024,Local street,K,$50-100k,0.0,0,,False
H-00025,Local street,K,$50-100k,0.0,0,,False
H-00026,Local street,K,$50-100k,0.0,0,,False
H-00027,Local street,K,$50-100k,0.3333333333333333,12,0.0,False
H-00028,Local street,K,$50-100k,0.0,0,,False
H-00029,Local street,K,$50-100k,1.0,25,0.0,True
H-00030,Local street,K,$50-100k,0.3333333333333333,13,0.0,False
H-00031,Arterial,K,$50-100k,1.0,126,0.0,True
H-00032,Arterial,K,$50-100k,1.0,42,0.0,True
H-00035,Local street,K,$50-100k,0.0,0,,False
H-00036,Local street,K,$50-100k,0.0,0,,False
H-00037,Arterial,K,$50-100k,1.0,117,0.0,True
H-00041,Arterial,K,$50-100k,1.0,59,0.0,True
H-00045,Arterial,F,$50-100k,1.0,147,0.0,True
H-00046,Arterial,F,$50-100k,1.0,154,0.0,True
H-00050,Arterial,F,$50-100k,1.0,198,0.0,True
H-00055,Arterial,F,$100-150k,1.0,111,0.0,True
H-00059,Arterial,A,$50-100k,1.0,151,0.046357615894039736,True
H-00060,Arterial,A,$50-100k,1.0,224,0.07589285714285714,True
H-00064,Collector,A,$50-100k,1.0,198,0.025252525252525252,True
H-00065,Local street,G,Under $50k,0.0,0,,False
H-00067,Local street,G,Under $50k,0.0,0,,False
H-00068,Local street,G,Under $50k,0.0,0,,False
H-00069,Local street,G,Under $50k,0.0,0,,False
H-00071,Local street,G,Under $50k,0.08333333333333333,23,0.0,False
H-00073,Local street,G,Under $50k,0.0,0,,False
H-00075,Local street,G,Under $50k,0.0,0,,False
H-00077,Collector,A,$50-100k,1.0,132,0.0,True
H-00078,Collector,A,$50-100k,1.0,99,0.0,True
H-00079,Collector,A,$50-100k,1.0,179,0.0,True
H-00080,Collector,A,$50-100k,1.0,185,0.0,True
H-00081,Collector,A,$50-100k,1.0,58,0.0,True
H-00083,Arterial,A,$50-100k,1.0,114,0.0,True
H-00084,Arterial,A,$50-100k,1.0,110,0.0,True
H-00111,Arterial,G,$150k+,1.0,69,0.0,True
H-00118,Arterial,K,$100-150k,1.0,132,0.0,True
H-00119,Arterial,K,$100-150k,1.0,97,0.0,True
H-00121,Arterial,F,Under $50k,1.0,62,0.0,True
H-00122,Arterial,F,Under $50k,1.0,58,0.0,True
H-00126,Arterial,F,Under $50k,1.0,40,0.0,True
H-00128,Local street,F,Under $50k,0.16666666666666666,18,0.0,False
H-00141,Local street,G,$50-100k,0.0,0,,False
H-00142,Local street,G,$50-100k,0.0,0,,False
H-00145,Local street,G,$50-100k,0.0,0,,False
H-00147,Local street,G,$50-100k,0.0,0,,False
H-00155,Collector,F,$50-100k,0.07692307692307693,8,0.0,False
H-00156,Major arterial,G,$100-150k,1.0,21,0.0,True
H-00160,Arterial,F,$50-100k,1.0,93,0.0,True
H-00161,Arterial,F,$50-100k,1.0,73,0.0,True
H-00164,Major arterial,G,Under $50k,1.0,48,0.0,True
H-00166,Major arterial,G,Under $50k,1.0,20,0.0,True
H-00174,Arterial,K,Under $50k,1.0,85,0.0,True
H-00177,Arterial,K,Under $50k,1.0,64,0.0,True
H-00181,Arterial,F,$50-100k,1.0,131,0.007633587786259542,True
H-00185,Arterial,F,$50-100k,1.0,151,0.006622516556291391,True
H-00186,Arterial,F,$50-100k,1.0,51,0.0,True
H-00192,Collector,J,Under $50k,1.0,118,0.0,True
H-00193,Collector,J,Under $50k,1.0,66,0.0,True
H-00194,Collector,J,Under $50k,1.0,46,0.0,True
H-00195,Collector,J,Under $50k,1.0,134,0.0,True
H-00196,Collector,J,Under $50k,1.0,137,0.0,True
H-00197,Collector,J,Under $50k,1.0,74,0.0,True
H-00199,Arterial,G,,1.0,76,0.0,True
H-00200,Arterial,G,$50-100k,1.0,73,0.0,True
H-00202,Local street,G,$50-100k,0.3333333333333333,14,0.0,False
H-00203,Collector,G,$50-100k,1.0,27,0.0,True
H-00204,Collector,G,$50-100k,1.0,33,0.0,True
H-00205,Local street,G,$50-100k,0.3333333333333333,13,0.0,False
H-00206,Collector,G,$50-100k,1.0,84,0.0,True
H-00207,Local street,G,$50-100k,0.6666666666666666,12,0.0,True
H-00208,Collector,G,$50-100k,1.0,32,0.0,True
H-00209,Local street,G,$50-100k,0.0,0,,False
H-00210,Local street,G,$50-100k,0.0,0,,False
H-00211,Local street,G,$50-100k,0.0,0,,False
H-00212,Local street,G,$50-100k,0.0,0,,False
H-00214,Local street,G,$50-100k,0.0,0,,False
H-00215,Local street,G,$50-100k,0.6666666666666666,13,0.0,True
H-00216,Collector,G,$50-100k,1.0,24,0.0,True
H-00217,Collector,G,$50-100k,1.0,32,0.0,True
H-00218,Local street,G,$100-150k,0.3333333333333333,13,0.0,False
H-00219,Local street,G,$50-100k,0.6666666666666666,13,0.0,True
H-00220,Local street,G,$50-100k,0.0,0,,False
H-00221,Local street,G,$100-150k,0.0,0,,False
H-00222,Local street,G,$100-150k,0.25,13,0.0,False
H-00223,Local street,G,$50-100k,0.0,0,,False
H-00224,Local street,G,$100-150k,0.0,0,,False
H-00239,Local street,F,Under $50k,0.0,0,,False
H-00240,Local street,F,Under $50k,0.0,0,,False
H-00241,Local street,F,Under $50k,0.0,0,,False
H-00243,Local street,F,Under $50k,0.0,0,,False
H-00244,Local street,F,Under $50k,0.0,0,,False
H-00245,Local street,F,Under $50k,0.0,0,,False
H-00247,Local street,F,Under $50k,0.0,0,,False
H-00248,Local street,F,Under $50k,0.0,0,,False
H-00249,Local street,F,Under $50k,0.0,0,,False
H-00251,Local street,F,Under $50k,0.0,0,,False
H-00252,Local street,F,Under $50k,0.0,0,,False
H-00253,Local street,F,Under $50k,0.0,0,,False
H-00254,Local street,F,Under $50k,0.0,0,,False
H-00255,Local street,F,Under $50k,0.0,0,,False
H-00256,Local street,F,Under $50k,0.0,0,,False
H-00257,Local street,F,Under $50k,0.0,0,,False
H-00258,Local street,F,Under $50k,0.0,0,,False
H-00260,Arterial,J,Under $50k,1.0,218,0.0,True
H-00261,Arterial,J,Under $50k,1.0,190,0.0,True
H-00262,Arterial,J,Under $50k,1.0,135,0.0,True
H-00264,Arterial,J,Under $50k,1.0,334,0.0,True
H-00267,Arterial,F,$50-100k,1.0,219,0.0091324200913242,True
H-00269,Arterial,F,Under $50k,1.0,232,0.0,True
H-00270,Arterial,F,Under $50k,1.0,179,0.0,True
H-00272,Arterial,F,$50-100k,1.0,294,0.0,True
H-00273,Arterial,F,Under $50k,1.0,545,0.0,True
H-00276,Arterial,G,$150k+,1.0,279,0.07168458781362007,True
H-00277,Arterial,G,$150k+,1.0,794,0.03526448362720403,True
H-00278,Arterial,G,$50-100k,1.0,886,0.0,True
H-00279,Arterial,G,$50-100k,1.0,147,0.027210884353741496,True
H-00281,Arterial,G,$150k+,1.0,290,0.034482758620689655,True
H-00282,Arterial,G,$150k+,1.0,709,0.02538787023977433,True
H-00283,Local street,G,$150k+,0.6666666666666666,128,0.0234375,True
H-00284,Arterial,G,$150k+,1.0,370,0.016216216216216217,True
H-00285,Arterial,G,$50-100k,1.0,1260,0.0,True
H-00289,Arterial,G,$50-100k,1.0,338,0.014792899408284023,True
H-00290,Arterial,G,$50-100k,1.0,691,0.0,True
H-00291,Arterial,G,$150k+,1.0,1129,0.001771479185119575,True
H-00292,Arterial,G,$150k+,1.0,281,0.02491103202846975,True
H-00294,Major arterial,G,$50-100k,1.0,297,0.04040404040404041,True
H-00296,Arterial,G,$150k+,1.0,789,0.011406844106463879,True
H-00297,Local street,G,$150k+,0.2,168,0.005952380952380952,False
H-00298,Major arterial,G,$50-100k,1.0,588,0.04931972789115646,True
H-00299,Major arterial,G,$150k+,1.0,256,0.02734375,True
H-00301,Arterial,G,$50-100k,1.0,130,0.03076923076923077,True
H-00302,Arterial,G,$50-100k,1.0,373,0.0,True
H-00303,Arterial,G,$50-100k,1.0,692,0.010115606936416185,True
H-00307,Local street,G,$50-100k,0.9,113,0.3893805309734513,True
H-00308,Arterial,G,$50-100k,1.0,590,0.0,True
H-00309,Local street,G,$150k+,0.0,0,,False
H-00310,Local street,G,$150k+,0.0,0,,False
H-00311,Local street,G,$150k+,0.0,0,,False
H-00321,Arterial,K,$50-100k,1.0,43,0.0,True
H-00322,Arterial,K,$50-100k,1.0,332,0.0,True
H-00324,Arterial,K,$50-100k,1.0,69,0.0,True
H-00325,Arterial,K,$50-100k,1.0,328,0.0,True
H-00332,Local street,K,$50-100k,1.0,100,0.0,True
H-00335,Arterial,K,$50-100k,1.0,82,0.0,True
H-00336,Minor street,K,$50-100k,1.0,1903,0.0,True
H-00337,Minor street,K,$50-100k,1.0,5827,0.00034322979234597563,True
H-00340,Collector,G,$50-100k,0.0,0,,False
H-00342,Collector,G,$50-100k,0.3333333333333333,20,0.0,False
H-00344,Collector,G,$50-100k,0.0,0,,False
H-00347,Arterial,G,$50-100k,1.0,81,0.0,True
H-00353,Major arterial,J,$50-100k,1.0,36,0.0,True
H-00355,Local street,J,$50-100k,1.0,26,0.0,True
H-00358,Major arterial,J,Under $50k,1.0,78,0.0,True
H-00365,Local street,F,$50-100k,0.2,20,0.0,False
H-00369,Arterial,F,Under $50k,1.0,68,0.0,True
H-00370,Arterial,F,Under $50k,1.0,54,0.0,True
H-00373,Local street,F,$50-100k,0.0,0,,False
H-00374,Local street,F,$50-100k,0.0,0,,False
H-00375,Local street,F,$50-100k,0.0,0,,False
H-00376,Local street,F,$50-100k,0.0,0,,False
H-00378,Arterial,G,$150k+,0.0,0,,False
H-00380,Arterial,G,$150k+,0.0,0,,False
H-00381,Local street,G,$50-100k,0.0,0,,False
H-00383,Arterial,J,Under $50k,1.0,65,0.0,True
H-00384,Arterial,J,Under $50k,1.0,111,0.0,True
H-00388,Arterial,J,Under $50k,1.0,68,0.0,True
H-00404,Minor street,F,Under $50k,0.16666666666666666,22,0.0,False
H-00406,Collector,F,$50-100k,0.0,0,,False
H-00407,Local street,F,$50-100k,0.0,0,,False
H-00408,Collector,F,$50-100k,0.0,0,,False
H-00409,Collector,F,$50-100k,0.0,0,,False
H-00410,Local street,F,$50-100k,0.0,0,,False
H-00411,Collector,F,Under $50k,0.0,0,,False
H-00412,Local street,F,$50-100k,0.0,0,,False
H-00413,Local street,J,Under $50k,0.0,0,,False
H-00414,Collector,J,Under $50k,0.0,0,,False
H-00415,Collector,J,$50-100k,0.0,0,,False
H-00416,Local street,J,$50-100k,0.0,0,,False
H-00417,Local street,J,Under $50k,0.0,0,,False
H-00418,Collector,J,$50-100k,0.4,22,0.0,False
H-00419,Local street,J,Under $50k,0.125,22,0.0,False
H-00420,Arterial,J,Under $50k,1.0,57,0.0,True
H-00421,Arterial,J,Under $50k,1.0,91,0.0,True
H-00436,Arterial,F,$50-100k,1.0,147,0.0,True
H-00438,Arterial,G,$50-100k,1.0,165,0.0,True
H-00439,Arterial,G,$50-100k,1.0,69,0.0,True
H-00442,Arterial,G,$50-100k,1.0,242,0.0,True
H-00443,Local street,G,$50-100k,0.25,21,0.0,False
H-00445,Minor street,G,$50-100k,0.5,21,0.0,True
H-00446,Arterial,G,$50-100k,1.0,72,0.0,True
H-00450,Arterial,K,Under $50k,1.0,70,0.0,True
H-00455,Local street,J,Under $50k,0.0,0,,False
H-00456,Collector,J,Under $50k,0.06666666666666667,21,0.0,False
H-00461,Local street,J,Under $50k,0.0,0,,False
H-00463,Arterial,G,$50-100k,1.0,70,0.0,True
H-00464,Arterial,G,$50-100k,1.0,71,0.0,True
H-00469,Arterial,J,Under $50k,1.0,54,0.0,True
H-00472,Arterial,F,$50-100k,1.0,62,0.0,True
H-00474,Minor street,F,$50-100k,0.15384615384615385,57,0.0,False
H-00475,Arterial,F,$50-100k,1.0,78,0.0,True
H-00478,Arterial,F,$50-100k,1.0,120,0.0,True
H-00485,Minor street,F,$50-100k,0.2222222222222222,53,0.0,False
H-00487,Arterial,F,$50-100k,1.0,167,0.03592814371257485,True
