site,id,year,api_ok,n_det,n_person,n_vehicle,n_sidewalk,n_road,n_vegetation,n_marking,n_sign
Westheimer Road,935878547176252,2013,True,0,0,0,0,0,0,0,0
Westheimer Road,1798255413685742,2013,True,1,0,0,0,0,0,0,0
Westheimer Road,1655388264645579,2013,True,1,0,0,0,0,0,0,0
Westheimer Road,3796788973781675,2013,True,2,0,0,0,0,0,0,1
Westheimer Road,524271075608537,2013,True,2,0,0,0,0,0,0,1
Westheimer Road,498309138023558,2013,True,4,0,0,0,0,0,0,2
Westheimer Road,479035800105935,2013,True,3,0,0,0,0,0,0,2
Westheimer Road,287143703014949,2013,True,2,0,0,0,0,0,0,1
Westheimer Road,373484980592351,2013,True,3,0,0,0,0,0,0,0
Westheimer Road,519647462532605,2013,True,5,0,0,0,0,0,0,1
Westheimer Road,261038932378900,2013,True,2,0,0,0,0,0,0,0
Westheimer Road,515538349806521,2013,True,2,0,0,0,0,0,1,0
Westheimer Road,785823939025194,2013,True,2,0,0,0,0,0,1,0
Westheimer Road,825742454965637,2013,True,2,0,0,0,0,0,2,0
Westheimer Road,135506788589927,2013,True,2,0,0,0,0,0,1,0
Westheimer Road,800892374133829,2013,True,4,0,0,0,0,0,1,1
Westheimer Road,218687222957714,2013,True,3,0,0,0,0,0,0,0
Westheimer Road,483844889695185,2013,True,2,0,0,0,0,0,0,0
Westheimer Road,503880224357289,2013,True,3,0,0,0,0,0,0,0
Westheimer Road,262343838943292,2013,True,5,0,0,0,0,0,0,0
Westheimer Road,494116698391392,2013,True,3,0,0,0,0,0,0,0
Westheimer Road,803812820558978,2013,True,3,0,0,0,0,0,0,0
Westheimer Road,2907198769553972,2013,True,5,0,0,0,0,0,0,0
Westheimer Road,892915077944428,2013,True,4,0,0,0,0,0,0,0
Westheimer Road,466222161259008,2013,True,3,0,0,0,0,0,0,0
Westheimer Road,745615852783278,2012,True,36,0,0,0,0,0,1,6
Westheimer Road,627874631946083,2012,True,32,0,0,0,0,0,1,3
Westheimer Road,232230862034540,2012,True,31,0,0,0,0,0,0,3
Westheimer Road,170139558351511,2012,True,27,0,0,0,0,0,0,4
Westheimer Road,1357718424595096,2012,True,29,0,0,0,0,0,0,3
Westheimer Road,497929934584856,2012,True,30,0,0,0,0,0,1,3
Westheimer Road,2647187042246235,2012,True,36,0,0,0,0,0,1,4
Westheimer Road,1935160049969752,2012,True,32,0,0,0,0,0,2,4
Westheimer Road,179773077359271,2012,True,26,0,0,0,0,0,2,5
Westheimer Road,371958740870356,2012,True,25,0,0,0,0,0,1,4
Westheimer Road,486111162702456,2012,True,29,0,0,0,0,0,1,3
Westheimer Road,124487376321006,2012,True,24,0,0,0,0,0,0,4
Westheimer Road,1194827790939290,2012,True,30,0,0,0,0,0,1,5
Westheimer Road,158615619529573,2012,True,32,0,0,0,0,0,1,6
Westheimer Road,496120508495390,2012,True,30,0,0,0,0,0,1,6
Westheimer Road,468555714226989,2012,True,38,0,0,0,0,0,2,6
Westheimer Road,2636503163311152,2012,True,32,0,0,0,0,0,1,4
Westheimer Road,368431331264679,2012,True,32,0,0,0,0,0,1,4
Westheimer Road,196542188977479,2012,True,39,0,0,0,0,0,1,7
Westheimer Road,2919658361633337,2012,True,36,0,0,0,0,0,1,8
Westheimer Road,174876581192255,2012,True,27,0,0,0,0,0,0,5
Westheimer Road,814945615805332,2012,True,27,0,0,0,0,0,1,4
Westheimer Road,369193897858189,2012,True,35,0,0,0,0,0,2,7
Westheimer Road,819440038928503,2012,True,30,0,0,0,0,0,2,4
Westheimer Road,190165952844463,2012,True,34,0,0,0,0,0,1,5
Westheimer Road,490981415285501,2012,True,4,0,0,0,0,0,0,0
Westheimer Road,316727289812298,2012,True,2,0,0,0,0,0,0,0
